ts_code,name,industry,trade_date,limit_type,close,up_limit,down_limit,pct_chg,amount,vol,turnover_rate_f,turnover_rate,circ_mv,total_mv,volume_ratio,lhb_net_amount,limit_up_flag,_f_momo,_f_amt,_f_turn,_f_vr,_f_cap,_f_small,_bonus,_penalty,StrengthScore
002501.SZ,利源股份,铝,20260209,,2.16,,,10.2041,267379.368,1278276.09,4.6543,3.6044,,766800.0,0.87,,1,0.15178571428571427,0.8660714285714286,0.875,0.7633928571428571,0.5044642857142857,0.5044642857142857,0.05,0.0,67.982143
603301.SH,振德医疗,医疗保健,20260209,,80.69,,,10.0068,373119.442,46790.82,3.854,1.7601,,2145026.9319,2.62,,1,0.45535714285714285,0.7589285714285714,0.9017857142857143,0.2544642857142857,0.5044642857142857,0.5044642857142857,0.05,0.0,67.125
603466.SH,风语筑,文教休闲,20260209,,9.96,,,10.0552,218098.502,218974.4,6.2618,3.6816,,592406.8749,1.25,371801680.56,1,0.21428571428571427,0.8839285714285714,0.8214285714285714,0.5669642857142857,0.5044642857142857,0.5044642857142857,0.05,0.0,66.928571
000534.SZ,万泽股份,生物制药,20260209,,31.68,,,9.0534,825261.453,264965.72,7.0295,5.2996,,1614249.6987,1.11,,1,0.8303571428571429,0.44642857142857145,0.7946428571428571,0.625,0.5044642857142857,0.5044642857142857,0.05,0.0,66.571429
000571.SZ,新大洲A,煤炭开采,20260209,,6.75,,,9.9349,407779.663,615306.72,10.66,7.5591,,566412.075,3.14,,1,0.7857142857142857,0.7232142857142857,0.6339285714285714,0.17857142857142858,0.5044642857142857,0.5044642857142857,0.05,0.0,66.178571
002514.SZ,宝馨科技,机械基件,20260209,,5.55,,,5.916,397788.644,709595.3,16.1377,12.8078,,399619.0165,2.1,,1,0.9285714285714286,0.7410714285714286,0.4017857142857143,0.3482142857142857,0.5044642857142857,0.5044642857142857,0.05,0.0,65.928571
600076.SH,康欣新材,广告包装,20260209,,4.32,,,9.3671,421117.171,987330.2,12.0692,7.3432,,580842.7345,2.12,,1,0.8214285714285714,0.6964285714285714,0.5535714285714286,0.33035714285714285,0.5044642857142857,0.5044642857142857,0.05,0.0,65.732143
002309.SZ,中利集团,电气设备,20260209,,3.43,,,9.9359,659894.689,1956175.09,9.0088,8.422,,1031629.2271,1.79,,1,0.7767857142857143,0.5714285714285714,0.7053571428571429,0.45089285714285715,0.5044642857142857,0.5044642857142857,0.05,0.0,65.678571
002440.SZ,闰土股份,染料涂料,20260209,,14.53,,,9.9924,734548.049,514572.62,8.1477,5.4374,,1633171.862,0.4,,1,0.6116071428571429,0.5,0.7589285714285714,0.9196428571428571,0.5044642857142857,0.5044642857142857,0.05,0.0,65.669643
603929.SH,亚翔集成,装修装饰,20260209,,149.27,,,10.0,736582.364,51601.9,5.964,2.4185,,3184824.72,1.08,,1,0.5491071428571429,0.49107142857142855,0.8392857142857143,0.6517857142857143,0.5044642857142857,0.5044642857142857,0.05,0.0,63.776786
601222.SH,林洋能源,新型电力,20260209,,6.25,,,6.6553,729704.474,1162622.66,9.2478,5.6433,,1287605.7225,3.3,,1,0.8839285714285714,0.5089285714285714,0.6964285714285714,0.15178571428571427,0.5044642857142857,0.5044642857142857,0.05,0.0,63.410714
002534.SZ,西子洁能,专用机械,20260209,,19.54,,,10.0225,412061.239,215203.46,7.8504,2.6093,,1633417.3359,1.22,,1,0.32142857142857145,0.7053571428571429,0.7678571428571429,0.5803571428571429,0.5044642857142857,0.5044642857142857,0.05,0.0,63.25
600383.SH,金地集团,全国地产,20260209,,3.51,,,5.7229,1006250.793,2849811.47,10.1207,6.3125,,1584618.8338,1.79,,1,0.9464285714285714,0.39285714285714285,0.6607142857142857,0.45089285714285715,0.5044642857142857,0.5044642857142857,0.05,0.0,63.196429
600666.SH,奥瑞德,元器件,20260209,,3.78,,,9.8837,712313.521,1929956.41,9.4146,7.9758,,1040047.1149,2.85,,1,0.8035714285714286,0.5267857142857143,0.6875,0.21428571428571427,0.5044642857142857,0.5044642857142857,0.05,0.0,62.75
603163.SH,圣晖集成,建筑工程,20260209,,111.86,,,10.001,409165.603,37666.5,14.0127,3.7667,,1118600.0,0.88,,1,0.5178571428571429,0.7142857142857143,0.4642857142857143,0.75,0.5044642857142857,0.5044642857142857,0.05,0.0,62.303571
002323.SZ,雅博股份,建筑工程,20260209,,1.96,,,10.1124,275700.366,1432271.93,8.8266,6.7548,,415687.6078,1.93,,1,0.16964285714285715,0.8571428571428571,0.7232142857142857,0.4017857142857143,0.5044642857142857,0.5044642857142857,0.05,0.0,62.142857
605060.SH,联德股份,机械基件,20260209,,52.75,,,10.0104,447989.393,86792.54,10.1905,3.6324,,1269122.8,1.2,,1,0.42857142857142855,0.6696428571428571,0.6517857142857143,0.5892857142857143,0.5044642857142857,0.5044642857142857,0.05,0.0,62.0
603626.SH,科森科技,元器件,20260209,,26.65,,,9.9876,892231.52,337948.61,8.6495,6.0905,,1478754.3739,0.97,,1,0.6428571428571429,0.41964285714285715,0.7410714285714286,0.6875,0.5044642857142857,0.5044642857142857,0.05,0.0,61.928571
002623.SZ,亚玛顿,玻璃,20260209,,30.97,,,10.0178,426955.78,141619.15,13.5415,7.1296,,616496.5625,0.53,,1,0.375,0.6875,0.5,0.8928571428571429,0.5044642857142857,0.5044642857142857,0.05,0.0,60.892857
000016.SZ,深康佳Ａ,家用电器,20260209,,4.05,,,10.0543,403824.424,1032093.42,9.6226,6.4643,,975217.8902,1.1,,1,0.22321428571428573,0.7321428571428571,0.6785714285714286,0.6428571428571429,0.5044642857142857,0.5044642857142857,0.05,0.0,60.892857
605566.SH,福莱蒽特,染料涂料,20260209,,34.19,,,10.0064,264102.397,79768.68,13.6463,5.9824,,455889.46,4.18,,1,0.4732142857142857,0.875,0.49107142857142855,0.07142857142857142,0.5044642857142857,0.5044642857142857,0.05,0.0,60.785714
002343.SZ,慈文传媒,影视音像,20260209,,8.0,,,5.8201,504812.946,628420.09,18.1439,13.2668,,378944.2288,3.29,,1,0.9375,0.625,0.35714285714285715,0.16071428571428573,0.5044642857142857,0.5044642857142857,0.05,0.0,60.678571
603985.SH,恒润股份,电气设备,20260209,,16.8,,,8.1777,584527.249,348498.34,13.9701,7.905,,740641.445,3.61,,1,0.8482142857142857,0.5892857142857143,0.48214285714285715,0.09821428571428571,0.5044642857142857,0.5044642857142857,0.05,0.0,60.142857
002830.SZ,名雕股份,装修装饰,20260209,,33.72,,,10.0163,358689.412,109008.98,24.365,16.3059,,449622.48,0.59,,1,0.38392857142857145,0.7678571428571429,0.25892857142857145,0.875,0.5044642857142857,0.5044642857142857,0.05,0.0,58.178571
002795.SZ,永和智控,机械基件,20260209,,7.23,,,4.7826,563514.264,766112.96,24.6758,17.6349,,319340.0097,3.42,,1,0.9642857142857143,0.5982142857142857,0.25,0.13392857142857142,0.5044642857142857,0.5044642857142857,0.05,0.0,58.107143
001266.SZ,宏英智能,电器仪表,20260209,,37.32,,,9.9912,309774.241,84879.75,23.6828,14.6139,,386561.4631,3.57,,1,0.625,0.8214285714285714,0.26785714285714285,0.125,0.5044642857142857,0.5044642857142857,0.05,0.0,58.089286
001217.SZ,华尔泰,化工原料,20260209,,14.07,,,10.0078,300199.67,222591.55,18.3506,6.7743,,466941.09,2.48,,1,0.44642857142857145,0.8303571428571429,0.3482142857142857,0.2767857142857143,0.5044642857142857,0.5044642857142857,0.05,0.0,57.928571
002296.SZ,辉煌科技,通信设备,20260209,,14.15,,,10.0311,467983.656,335278.29,10.0343,9.6506,,551256.2943,1.92,,1,0.2857142857142857,0.6517857142857143,0.6696428571428571,0.4107142857142857,0.5044642857142857,0.5044642857142857,0.05,0.0,57.892857
002624.SZ,完美世界,互联网,20260209,,21.53,,,10.0153,1302584.87,605469.24,4.5016,3.3127,,4176751.9738,0.79,-119566884.25,1,0.4017857142857143,0.2857142857142857,0.8839285714285714,0.7946428571428571,0.5044642857142857,0.5044642857142857,0.05,0.0,57.821429
002099.SZ,海翔药业,化学制药,20260209,,8.26,,,9.9867,909991.383,1108386.3,11.3924,6.8601,,1337058.799,1.47,,1,0.6517857142857143,0.4107142857142857,0.5982142857142857,0.5178571428571429,0.5044642857142857,0.5044642857142857,0.05,0.0,57.642857
603308.SH,应流股份,机械基件,20260209,,57.18,,,10.0038,1269304.643,226601.83,5.092,3.3371,,3882730.3696,1.4,,1,0.49107142857142855,0.30357142857142855,0.8660714285714286,0.5357142857142857,0.5044642857142857,0.5044642857142857,0.05,0.0,57.464286
002079.SZ,苏州固锝,电气设备,20260209,,11.81,,,9.9628,883957.695,771920.9,12.4002,9.5317,,957329.9565,2.11,,1,0.7321428571428571,0.42857142857142855,0.5357142857142857,0.3392857142857143,0.5044642857142857,0.5044642857142857,0.05,0.0,56.875
600172.SH,黄河旋风,矿物制品,20260209,,8.18,,,9.9462,1183011.918,1482245.62,15.7585,11.614,,1179706.9014,0.69,,1,0.7589285714285714,0.3482142857142857,0.41964285714285715,0.8169642857142857,0.5044642857142857,0.5044642857142857,0.05,0.0,56.767857
605228.SH,神通科技,汽车配件,20260209,,14.24,,,6.4275,483831.192,337409.32,28.7538,7.8567,,615601.6408,3.39,,1,0.9107142857142857,0.6428571428571429,0.15178571428571427,0.14285714285714285,0.5044642857142857,0.5044642857142857,0.05,0.0,56.410714
600722.SH,金牛化工,化工原料,20260209,,9.5,,,9.9537,716312.326,770449.32,25.7627,11.3248,,646303.6922,1.04,,1,0.75,0.5178571428571429,0.21428571428571427,0.6651785714285714,0.5044642857142857,0.5044642857142857,0.05,0.0,55.696429
600352.SH,浙江龙盛,染料涂料,20260209,,16.37,,,9.4983,3324892.148,2048831.21,8.4039,6.2976,,5325704.2548,1.86,,1,0.8125,0.10714285714285714,0.75,0.41964285714285715,0.5044642857142857,0.5044642857142857,0.05,0.0,54.892857
603916.SH,苏博特,化工原料,20260209,,13.59,,,8.2869,787553.383,588321.14,26.8169,13.9968,,579335.4119,1.81,,1,0.8392857142857143,0.4732142857142857,0.1875,0.4375,0.5044642857142857,0.5044642857142857,0.05,0.0,53.785714
600860.SH,京城股份,专用机械,20260209,,13.77,,,2.3031,798012.676,568877.5,28.6869,12.8114,,753888.2055,2.97,,1,0.9732142857142857,0.4642857142857143,0.16071428571428573,0.19642857142857142,0.5044642857142857,0.5044642857142857,0.05,0.0,53.5
603959.SH,百利科技,建筑工程,20260209,,6.93,,,8.1123,665781.247,969780.03,25.9165,19.7794,,339777.2015,6.15,,1,0.8571428571428571,0.5625,0.20535714285714285,0.008928571428571428,0.5044642857142857,0.5044642857142857,0.05,0.0,53.357143
688025.SH,杰普特,专用机械,20260209,,212.75,,,20.0011,948641.219,47307.56,7.6579,4.9772,,2022176.4743,0.67,-22254897.17,1,0.03571428571428571,0.4017857142857143,0.7767857142857143,0.84375,0.5044642857142857,0.5044642857142857,0.05,0.0,52.5
000525.SZ,红太阳,农药化肥,20260209,,6.72,,,9.9836,826799.834,1271031.71,14.534,11.4326,,875722.5396,3.6,,1,0.6696428571428571,0.4375,0.44642857142857145,0.11160714285714286,0.5044642857142857,0.5044642857142857,0.05,0.0,52.375
600477.SH,杭萧钢构,钢加工,20260209,,4.14,,,10.1064,693769.159,1724998.77,11.9846,7.3125,,976612.9325,1.25,211252877.45,1,0.17857142857142858,0.5446428571428571,0.5625,0.5669642857142857,0.5044642857142857,0.5044642857142857,0.05,0.0,52.285714
601778.SH,晶科科技,新型电力,20260209,,4.64,,,6.422,2152019.111,4595599.87,16.9105,12.8692,,1656944.2965,2.03,,1,0.9196428571428571,0.20535714285714285,0.39285714285714285,0.36607142857142855,0.5044642857142857,0.5044642857142857,0.05,0.0,51.803571
002897.SZ,意华股份,元器件,20260209,,57.9,,,7.0834,1261364.75,218871.18,20.6811,11.9979,,1122569.2298,2.35,,1,0.8660714285714286,0.3125,0.3125,0.29464285714285715,0.5044642857142857,0.5044642857142857,0.05,0.0,51.446429
601515.SH,衢州东峰,广告包装,20260209,,4.57,,,10.1205,499649.925,1125129.07,11.7177,5.8464,,879483.0966,5.49,59626053.76,1,0.16071428571428573,0.6339285714285714,0.5892857142857143,0.044642857142857144,0.5044642857142857,0.5044642857142857,0.05,0.0,50.642857
600330.SH,天通股份,专用机械,20260209,,17.05,,,10.0,2305029.44,1400838.27,14.0034,11.3572,,2103005.6793,0.66,,1,0.5491071428571429,0.1875,0.4732142857142857,0.8571428571428571,0.5044642857142857,0.5044642857142857,0.05,0.0,50.205357
600185.SH,珠免集团,旅游服务,20260209,,8.28,,,9.9602,1322925.267,1634333.73,15.7501,8.6702,,1560784.7983,2.73,,1,0.7410714285714286,0.2767857142857143,0.42857142857142855,0.24107142857142858,0.5044642857142857,0.5044642857142857,0.05,0.0,50.160714
600590.SH,泰豪科技,通信设备,20260209,,12.68,,,9.974,1357722.81,1102445.55,20.2262,13.0688,,1081438.843,1.13,,1,0.6964285714285714,0.26785714285714285,0.32142857142857145,0.5982142857142857,0.5044642857142857,0.5044642857142857,0.05,0.0,49.839286
001330.SZ,博纳影业,影视音像,20260209,,11.34,,,9.9903,2025279.226,1796977.64,18.0097,13.0735,,1558704.5279,0.94,,1,0.6339285714285714,0.22321428571428573,0.38392857142857145,0.7053571428571429,0.5044642857142857,0.5044642857142857,0.05,0.0,49.660714
600589.SH,大位科技,软件服务,20260209,,10.41,,,10.0423,1382302.704,1338480.69,10.721,9.0531,,1545541.3555,0.68,,1,0.26785714285714285,0.25892857142857145,0.6160714285714286,0.8303571428571429,0.5044642857142857,0.5044642857142857,0.05,0.0,49.642857
002506.SZ,协鑫集成,电气设备,20260209,,5.04,,,10.0437,2221635.096,4468047.07,10.8021,7.645,,2948559.4792,0.39,37050270.19,1,0.25892857142857145,0.19642857142857142,0.6071428571428571,0.9285714285714286,0.5044642857142857,0.5044642857142857,0.05,0.0,48.464286
600841.SH,动力新科,汽车配件,20260209,,10.51,,,10.0524,678132.239,656467.94,20.0198,6.2939,,1458600.695,1.47,,1,0.23214285714285715,0.5535714285714286,0.33035714285714285,0.5178571428571429,0.5044642857142857,0.5044642857142857,0.05,0.0,48.446429
601360.SH,三六零,互联网,20260209,,12.91,,,9.9659,4470514.657,3561389.72,12.3594,5.088,,9036429.2218,1.56,,1,0.7142857142857143,0.0625,0.5446428571428571,0.48214285714285715,0.5044642857142857,0.5044642857142857,0.05,0.0,48.357143
603212.SH,赛伍技术,塑料,20260209,,18.09,,,6.5999,1601004.564,879004.69,32.012,20.092,,791420.5605,1.49,,1,0.8928571428571429,0.24107142857142858,0.11607142857142858,0.5,0.5044642857142857,0.5044642857142857,0.05,0.0,47.785714
002412.SZ,汉森制药,中成药,20260209,,8.02,,,5.6653,1051681.155,1298961.5,45.4438,26.0917,,403566.4,5.94,,1,0.9553571428571429,0.36607142857142855,0.05357142857142857,0.017857142857142856,0.5044642857142857,0.5044642857142857,0.05,0.0,47.053571
600343.SH,航天动力,机械基件,20260209,,36.7,,,6.9347,3283962.182,899067.51,25.06,14.0874,,2342217.2972,1.47,,1,0.875,0.11607142857142858,0.23214285714285715,0.5178571428571429,0.5044642857142857,0.5044642857142857,0.05,0.0,46.678571
300364.SZ,中文在线,出版业,20260209,,35.28,,,20.0,1824261.733,517080.99,8.9901,7.8297,,2570148.4163,0.89,715965228.72,1,0.0625,0.23214285714285715,0.7142857142857143,0.7366071428571429,0.5044642857142857,0.5044642857142857,0.05,0.0,46.464286
600481.SH,双良节能,电气设备,20260209,,11.2,,,6.5652,3238874.335,2878519.05,28.1431,15.3621,,2098627.561,1.76,,1,0.9017857142857143,0.125,0.16964285714285715,0.4732142857142857,0.5044642857142857,0.5044642857142857,0.05,0.0,45.785714
002129.SZ,TCL中环,电气设备,20260209,,11.68,,,9.9812,4943860.659,4324673.39,15.2774,10.7045,,4722359.2229,1.27,517146259.17,1,0.6785714285714286,0.03571428571428571,0.4375,0.5535714285714286,0.5044642857142857,0.5044642857142857,0.05,0.0,45.446429
603103.SH,横店影视,影视音像,20260209,,36.74,,,10.0,1037111.065,284296.27,38.3149,4.4828,,2330050.8,1.11,85455899.51,1,0.5491071428571429,0.375,0.07142857142857142,0.625,0.5044642857142857,0.5044642857142857,0.05,0.0,45.1875
300982.SZ,苏文电能,建筑工程,20260209,,26.16,,,20.0,431154.772,172678.82,20.9301,8.9057,,541420.8219,3.63,,1,0.0625,0.6785714285714286,0.30357142857142855,0.08928571428571429,0.5044642857142857,0.5044642857142857,0.05,0.0,44.678571
601869.SH,长飞光纤,通信设备,20260209,,192.25,,,10.0017,3589992.34,194695.52,18.082,4.7915,,15916475.7013,0.89,,1,0.5089285714285714,0.08928571428571429,0.375,0.7366071428571429,0.5044642857142857,0.5044642857142857,0.05,0.0,44.0
600392.SH,盛和资源,小金属,20260209,,27.14,,,10.0122,4160836.135,1546482.12,11.9615,8.8228,,4757171.311,1.53,,1,0.4107142857142857,0.07142857142857142,0.5714285714285714,0.49107142857142855,0.5044642857142857,0.5044642857142857,0.05,0.0,43.732143
688435.SH,英方软件,软件服务,20260209,,64.86,,,20.0,644837.274,105380.46,21.2766,18.8018,,541581.0,2.9,-11737800.07,1,0.0625,0.5803571428571429,0.29464285714285715,0.20535714285714285,0.5044642857142857,0.5044642857142857,0.05,0.0,42.875
603598.SH,引力传媒,互联网,20260209,,28.45,,,10.0155,1259311.298,457320.96,33.8715,16.9842,,766906.4505,0.87,,1,0.39285714285714285,0.32142857142857145,0.08928571428571429,0.7633928571428571,0.5044642857142857,0.5044642857142857,0.05,0.0,42.446429
600683.SH,京投发展,区域地产,20260209,,6.66,,,10.0826,699272.111,1099542.22,33.5682,14.8431,,493357.8796,1.77,24199434.59,1,0.19642857142857142,0.5357142857142857,0.09821428571428571,0.4642857142857143,0.5044642857142857,0.5044642857142857,0.05,0.0,42.267857
002272.SZ,川润股份,机械基件,20260209,,16.93,,,10.0065,1289731.853,781644.34,21.9033,20.224,,820897.2689,4.01,,1,0.4642857142857143,0.29464285714285715,0.2857142857142857,0.08035714285714286,0.5044642857142857,0.5044642857142857,0.05,0.0,41.5
603629.SH,利通电子,元器件,20260209,,50.61,,,9.9978,2460712.545,499973.63,37.4299,19.4654,,1327905.18,0.9,328868219.72,1,0.5848214285714286,0.16964285714285715,0.08035714285714286,0.7232142857142857,0.5044642857142857,0.5044642857142857,0.05,0.0,41.455357
600732.SH,爱旭股份,电气设备,20260209,,15.04,,,10.0219,2351858.904,1585990.66,14.3042,8.7695,,3184343.8842,2.31,,1,0.33035714285714285,0.17857142857142858,0.45535714285714285,0.3169642857142857,0.5044642857142857,0.5044642857142857,0.05,0.0,41.357143
002716.SZ,湖南白银,小金属,20260209,,14.12,,,9.9688,6451001.531,4696900.14,23.5344,20.203,,3986201.1682,1.97,354366014.86,1,0.7053571428571429,0.026785714285714284,0.2767857142857143,0.38392857142857145,0.5044642857142857,0.5044642857142857,0.05,0.0,41.125
600751.SH,海航科技,水运,20260209,,4.36,,,10.101,1016872.315,2359962.16,18.0954,9.1714,,1264111.2734,3.6,83961350.53,1,0.1875,0.38392857142857145,0.36607142857142855,0.11160714285714286,0.5044642857142857,0.5044642857142857,0.05,0.0,40.696429
603191.SH,望变电气,电气设备,20260209,,22.29,,,10.0197,1206782.318,543632.46,27.4157,16.4718,,740815.7442,2.05,,1,0.35714285714285715,0.33035714285714285,0.17857142857142858,0.35714285714285715,0.5044642857142857,0.5044642857142857,0.05,0.0,40.571429
002218.SZ,拓日新能,新型电力,20260209,,7.96,,,9.9448,3347176.39,4298936.86,50.0194,30.8743,,1124764.357,1.29,135313268.17,1,0.7678571428571429,0.09821428571428571,0.03571428571428571,0.5446428571428571,0.5044642857142857,0.5044642857142857,0.05,0.0,40.571429
600875.SH,东方电气,电气设备,20260209,,28.77,,,10.0191,4651849.583,1655726.2,12.9995,7.3153,,9949702.6579,2.31,,1,0.36607142857142855,0.044642857142857144,0.5178571428571429,0.3169642857142857,0.5044642857142857,0.5044642857142857,0.05,0.0,39.767857
300749.SZ,顶固集创,家居用品,20260209,,21.43,,,19.9888,737230.584,351088.79,31.5792,22.3061,,439678.0242,1.99,,1,0.10714285714285714,0.48214285714285715,0.13392857142857142,0.375,0.5044642857142857,0.5044642857142857,0.05,0.0,39.267857
002015.SZ,协鑫能科,新型电力,20260209,,13.27,,,10.0332,2070115.925,1593857.68,18.8911,9.8185,,2154151.7628,3.21,61715982.16,1,0.2767857142857143,0.21428571428571427,0.3392857142857143,0.16964285714285715,0.5044642857142857,0.5044642857142857,0.05,0.0,37.821429
920167.BJ,同享科技,小金属,20260209,,24.07,,,24.0082,454789.179,189930.27,53.0228,29.0574,,264833.7855,4.91,17260904.79,1,0.008928571428571428,0.6607142857142857,0.026785714285714284,0.05357142857142857,0.5044642857142857,0.5044642857142857,0.05,0.0,37.428571
002054.SZ,德美化工,染料涂料,20260209,,11.06,,,10.0498,1116521.599,1065251.48,30.962,27.7138,,533219.6899,2.84,35976784.09,1,0.24107142857142858,0.35714285714285715,0.14285714285714285,0.22321428571428573,0.5044642857142857,0.5044642857142857,0.05,0.0,37.392857
300394.SZ,天孚通信,通信设备,20260209,,297.9,,,17.761,16568274.351,573641.84,13.3548,7.3937,,23159219.3929,1.11,,1,0.125,0.008928571428571428,0.5089285714285714,0.625,0.5044642857142857,0.5044642857142857,0.05,0.0,36.785714
